time,North,East,West,South,NGR,EGR,WGR,SGR
12:00 AM,53,18,32,28,0.64,0.12,0.12,0.12
12:15 AM,74,17,24,20,0.64,0.12,0.12,0.12
12:30 AM,43,10,24,25,0.64,0.12,0.12,0.12
12:45 AM,34,10,21,13,0.64,0.12,0.12,0.12
1:00 AM,20,8,18,14,0.64,0.12,0.12,0.12
1:15 AM,26,8,17,14,0.64,0.12,0.12,0.12
1:30 AM,23,7,14,13,0.64,0.12,0.12,0.12
1:45 AM,47,6,16,11,0.64,0.12,0.12,0.12
2:00 AM,29,6,18,15,0.63,0.11,0.15,0.11
2:15 AM,34,6,12,8,0.64,0.12,0.12,0.12
2:30 AM,26,6,11,11,0.64,0.12,0.12,0.12
2:45 AM,53,6,10,9,0.64,0.12,0.12,0.12
3:00 AM,26,5,11,11,0.64,0.12,0.12,0.12
3:15 AM,20,4,11,8,0.64,0.12,0.12,0.12
3:30 AM,14,5,7,7,0.64,0.12,0.12,0.12
3:45 AM,11,8,9,6,0.63,0.15,0.11,0.11
4:00 AM,25,8,9,8,0.64,0.12,0.12,0.12
4:15 AM,14,10,8,6,0.63,0.15,0.11,0.11
4:30 AM,15,12,12,8,0.51,0.19,0.19,0.11
4:45 AM,24,13,14,10,0.55,0.11,0.23,0.11
5:00 AM,20,16,10,8,0.47,0.31,0.11,0.11
5:15 AM,35,26,17,12,0.55,0.23,0.11,0.11
5:30 AM,53,45,38,25,0.51,0.27,0.11,0.11
5:45 AM,68,59,37,30,0.59,0.19,0.11,0.11
6:00 AM,72,51,24,32,0.64,0.12,0.12,0.12
6:15 AM,58,60,31,37,0.43,0.35,0.11,0.11
6:30 AM,92,76,44,47,0.64,0.12,0.12,0.12
6:45 AM,111,101,71,78,0.63,0.15,0.11,0.11
7:00 AM,90,80,59,74,0.63,0.15,0.11,0.11
7:15 AM,119,120,75,83,0.39,0.39,0.11,0.11
7:30 AM,133,132,86,102,0.31,0.47,0.11,0.11
7:45 AM,162,157,104,114,0.47,0.31,0.11,0.11
8:00 AM,117,97,88,99,0.64,0.12,0.12,0.12
8:15 AM,104,90,82,100,0.43,0.11,0.11,0.35
8:30 AM,83,78,92,97,0.11,0.11,0.27,0.51
8:45 AM,91,77,94,106,0.12,0.12,0.12,0.64
9:00 AM,88,65,92,96,0.11,0.11,0.31,0.47
9:15 AM,95,71,100,105,0.11,0.11,0.23,0.55
9:30 AM,96,77,103,108,0.11,0.11,0.27,0.51
9:45 AM,90,80,111,112,0.11,0.11,0.39,0.39
10:00 AM,102,78,117,109,0.11,0.11,0.63,0.15
